File Name,Operator,Well Name,API,County,State,Latitude,Longitude,Footages,Qtr-Qtr,Section,Township,Range,Well Status,Well Type,Closest City,Barrels Produced,MCF Gas Produced
W11745, RIM Operating Inc.,Basic Game And Fish 34-3,33-053-02102, McKenzie County, North Dakota,"48° 5' 52.231"" N","103° 38' 42.770"" W",392 FSL & 494 FWL, SWSW,2,153 N,101 W,Active,Oil & Gas,Williston,759,758
W11920, RIM Operating Inc.,Corps Of Engineers 31-10,33-053-02148, McKenzie County, North Dakota,"48° 5' 41.748"" N","103° 39' 23.940"" W",660 FNL & 2305 FEL, NWNE,10,153 N,101 W,Active,Oil & Gas,Williston,761,761
W15358, Rim Operating Inc.,Lewis And Clark 2-4H,33-053-02556, McKenzie County, North Dakota,"48° 6' 18.022"" N","103° 40' 12.900"" W",2094 FNL & 332 FEL, SENE,4,153 N,101 W,Active,Oil & Gas,Williston,604,604
W20197, Oasis Petroleum North America LLC,Wade Federal 5300 21-30H,33-053-03413, McKenzie County, North Dakota,"48° 2' 49.420"" N","103° 36' 11.540"" W",2220 FSL & 230 FWL, SWNW,30,153 N,100 W,Inactive,Oil & Gas,Williston,0.00,0.00
W20407, Oasis Petroleum North America LLC,Chalmers 5300 31-19H,33-053-03472, McKenzie County, North Dakota,"48° 3' 26.470"" N","103° 36' 9.410"" W",1535 FSL & 375 FWL,LOT3,19,153 N,100 W,Abandoned,Oil & Gas,Williston,0.00,0.00
W20863, Oasis Petroleum North America LLC,Foley Federal 5301 43-12H,33-053-03608, McKenzie County, North Dakota,"48° 4' 57.940"" N","103° 36' 41.780"" W",250 FSL & 1827 FEL, SWSE,12,153 N,101 W,Active,Oil & Gas,Williston,1.5 k,1.3 k
W20864, Oasis Petroleum North America LLC,Bray 5301 43-12H,33-053-03609, McKenzie County, North Dakota,48° 4' 57.960 N,103° 36' 43.250 W,250 FSL & 1927 FEL, SWSE,12,153 N,101 W,Active,Oil & Gas,Williston,420,1.4 k
W21266, Oasis Petroleum North America LLC,Dahl Federal 15-11H,33-053-03703, McKenzie County, North Dakota,"48° 4' 56.376"" N","103° 38' 9.239"" W",22 FSL & 2488 FEL, SWSE,11,153 N,101 W,Inactive,Oil & Gas,Williston,0.00,0.00
W21796, Oasis Petroleum North America LLC,Dahl Federal 2-15H,33-053-03846, McKenzie County, North Dakota,"48° 4' 49.250"" N","103° 39' 20.150"" W",700 FNL & 2026 FEL, NWNE,15,153 N,101 W,Active,Oil & Gas,Williston,2.4 k,3.2 k
W22099, Oasis Petroleum North America LLC,Yukon 5301 41-12T,33-053-03911, McKenzie County, North Dakota,"48° 4' 58.501"" N",103° 37' 22.076” W,255 FSL & 650 FWL, SWSW,12,153 N,101 W,Active,Oil & Gas,Williston,725,1.5 k
